observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
Ca		model1_data1	2.2340561979087465	0.029484867	offset;scale	sigma
Ca		model1_data1	2.362845543129604	0.147620899	offset;scale	sigma
Ca		model1_data1	2.20875081816259	0.312814778	offset;scale	sigma
Ca		model1_data1	2.3652651925476564	0.445614618	offset;scale	sigma
Ca		model1_data1	2.1970489274150955	0.566227379	offset;scale	sigma
Ca		model1_data1	2.3238237889915907	0.699263097	offset;scale	sigma
Ca		model1_data1	6.405918070486429	0.724620082	offset;scale	sigma
Ca		model1_data1	10.0	0.79062687	offset;scale	sigma
Ca		model1_data1	7.619637656881933	0.8405152640000001	offset;scale	sigma
Ca		model1_data1	5.1950079565008584	0.922325941	offset;scale	sigma
Ca		model1_data1	3.744758159095736	1.017974848	offset;scale	sigma
Ca		model1_data1	4.059173774710315	1.090940065	offset;scale	sigma
Ca		model1_data1	3.6102482989004088	1.167679344	offset;scale	sigma
Ca		model1_data1	4.3200217677501165	1.223857844	offset;scale	sigma
Ca		model1_data1	3.4589422870559243	1.302602094	offset;scale	sigma
Ca		model1_data1	4.403367107291128	1.38740057	offset;scale	sigma
Ca		model1_data1	6.381769977487577	1.42502326	offset;scale	sigma
Ca		model1_data1	4.090202229435377	1.508013332	offset;scale	sigma
Ca		model1_data1	2.737845119823312	1.634876884	offset;scale	sigma
Ca		model1_data1	2.178842717282933	1.743538446	offset;scale	sigma
Ca		model1_data1	2.481777313549279	1.845359519	offset;scale	sigma
Ca		model1_data1	4.304397573844084	1.96896008	offset;scale	sigma
Ca		model1_data1	3.621165460205338	2.046760814	offset;scale	sigma
Ca		model1_data1	3.2009964729556555	2.138517719	offset;scale	sigma
Ca		model1_data1	2.336344381296095	2.26373012	offset;scale	sigma
Ca		model1_data1	2.937558729205209	2.333864789	offset;scale	sigma
Ca		model1_data1	1.9060646175744516	2.401719295	offset;scale	sigma
Ca		model1_data1	2.184872263586465	2.548121486	offset;scale	sigma
Ca		model1_data1	2.1188041827225104	2.608309927	offset;scale	sigma
Ca		model1_data1	2.268480435347895	2.681511023	offset;scale	sigma
Ca		model1_data1	2.107578827432979	2.861722528	offset;scale	sigma
Ca		model1_data1	2.2565775780988147	2.949823309	offset;scale	sigma
Ca		model1_data1	2.0456269107532643	3.17520563	offset;scale	sigma
Ca		model1_data1	2.204617619711398	3.367486273	offset;scale	sigma
Ca		model1_data1	2.4812947383993027	3.588740712	offset;scale	sigma
Ca		model1_data1	7.59876542870661	3.641892098	offset;scale	sigma
Ca		model1_data1	5.377653244036249	3.782593882	offset;scale	sigma
Ca		model1_data1	4.332020982897348	3.831420821	offset;scale	sigma
Ca		model1_data1	4.783154938244722	3.874232847	offset;scale	sigma
