observableId	preequilibrationConditionId	simulationConditionId	simulatedData	time	observableParameters	noiseParameters	observableTransformation
fluorescence		model1_data1	-0.7450772236624	10	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.812267035283957	30	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.876102866304351	50	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.903347898061353	60	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.911394964269213	70	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.847477639110462	80	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.646434107087518	90	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.37411981694628	100	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.194543883309493	110	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.15153868354336	120	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.168216167690735	130	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.200906000770838	140	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.237784767135931	150	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.275802737348499	160	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.314018289977303	170	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.352024842764736	180	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.389498501334517	190	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.425955482347614	200	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.460421549436803	210	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
fluorescence		model1_data1	-0.490771017222626	220	-4.98107438218408;-0.279017032524776 	-1.14362512938604	log10
