observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
pMek		model1_data1	0.116721	0.0	s_pMek_20140430_gel1	pMek_sigma
pMek		model1_data1	0.232984	0.25	s_pMek_20140430_gel1	pMek_sigma
pMek		model1_data1	0.305171	1.0	s_pMek_20140430_gel1	pMek_sigma
pMek		model1_data1	0.125647	5.5	s_pMek_20140430_gel1	pMek_sigma
pMek		model1_data1	0.073706	7.0	s_pMek_20140430_gel1	pMek_sigma
pMek		model1_data1	0.058253	8.5	s_pMek_20140430_gel1	pMek_sigma
pMek		model1_data1	0.06666699999999999	10.0	s_pMek_20140430_gel1	pMek_sigma
pErk		model1_data1	0.037959	0.0	s_pErk_20140430_gel1	pErk_sigma
pErk		model1_data1	0.042262	0.25	s_pErk_20140430_gel1	pErk_sigma
pErk		model1_data1	0.162628	1.0	s_pErk_20140430_gel1	pErk_sigma
pErk		model1_data1	0.052124	5.5	s_pErk_20140430_gel1	pErk_sigma
pErk		model1_data1	0.023196	7.0	s_pErk_20140430_gel1	pErk_sigma
pErk		model1_data1	0.037687	8.5	s_pErk_20140430_gel1	pErk_sigma
pErk		model1_data1	0.028724	10.0	s_pErk_20140430_gel1	pErk_sigma
pMek		model1_data1	0.22033000000000005	0.0	s_pMek_20140505_gel1	pMek_sigma
pMek		model1_data1	1.683107	0.25	s_pMek_20140505_gel1	pMek_sigma
pMek		model1_data1	1.441176	1.0	s_pMek_20140505_gel1	pMek_sigma
pMek		model1_data1	0.225572	5.5	s_pMek_20140505_gel1	pMek_sigma
pMek		model1_data1	0.278346	7.0	s_pMek_20140505_gel1	pMek_sigma
pMek		model1_data1	0.137178	8.5	s_pMek_20140505_gel1	pMek_sigma
pMek		model1_data1	0.196426	10.0	s_pMek_20140505_gel1	pMek_sigma
pErk		model1_data1	0.297881	0.0	s_pErk_20140505_gel1	pErk_sigma
pErk		model1_data1	3.043549	0.25	s_pErk_20140505_gel1	pErk_sigma
pErk		model1_data1	3.098459	1.0	s_pErk_20140505_gel1	pErk_sigma
pErk		model1_data1	0.224662	5.5	s_pErk_20140505_gel1	pErk_sigma
pErk		model1_data1	0.38254	7.0	s_pErk_20140505_gel1	pErk_sigma
pErk		model1_data1	0.12333800000000003	8.5	s_pErk_20140505_gel1	pErk_sigma
pErk		model1_data1	0.229486	10.0	s_pErk_20140505_gel1	pErk_sigma
pMek		model1_data2	0.121231	0.0	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data2	0.086929466	1.0	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data2	0.054910478	5.5	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data2	0.048881617	7.0	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data2	0.052341248	8.5	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data2	0.052595374	10.0	s_pMek_20140430_gel2	pMek_sigma
pErk		model1_data2	0.039731	0.0	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data2	0.03303482	1.0	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data2	0.019296634	5.5	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data2	0.017683446000000002	7.0	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data2	0.020209467	8.5	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data2	0.02141076	10.0	s_pErk_20140430_gel2	pErk_sigma
pMek		model1_data2	0.155276	0.0	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data2	0.24	1.0	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data2	0.12	5.5	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data2	0.12	7.0	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data2	0.07	8.5	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data2	0.07	10.0	s_pMek_20140505_gel2	pMek_sigma
pErk		model1_data2	0.301624	0.0	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data2	0.54	1.0	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data2	0.27	5.5	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data2	0.25	7.0	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data2	0.18	8.5	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data2	0.15	10.0	s_pErk_20140505_gel2	pErk_sigma
pMek		model1_data3	1.724493879	1.0	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data3	1.683168571	5.5	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data3	1.470175735	7.0	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data3	1.557371739	8.5	s_pMek_20140430_gel2	pMek_sigma
pMek		model1_data3	1.559108205	10.0	s_pMek_20140430_gel2	pMek_sigma
pErk		model1_data3	0.004107653	1.0	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data3	0.011631788	5.5	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data3	0.012694322	7.0	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data3	0.003687738	8.5	s_pErk_20140430_gel2	pErk_sigma
pErk		model1_data3	0.002426131	10.0	s_pErk_20140430_gel2	pErk_sigma
pMek		model1_data3	5.857600733	1.0	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data3	2.857976654	5.5	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data3	4.607660706	7.0	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data3	2.789397964	8.5	s_pMek_20140505_gel2	pMek_sigma
pMek		model1_data3	1.623004546	10.0	s_pMek_20140505_gel2	pMek_sigma
pErk		model1_data3	0.176167582	1.0	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data3	0.069008927	5.5	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data3	0.07431126099999999	7.0	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data3	0.073151837	8.5	s_pErk_20140505_gel2	pErk_sigma
pErk		model1_data3	0.048102336	10.0	s_pErk_20140505_gel2	pErk_sigma
