observableId	preequilibrationConditionId	simulationConditionId	simulatedData	time	observableParameters	noiseParameters	observableTransformation
observable_IRsum		model1_data1	0.284775157488339	0.0	1.16483671237839;-0.880061554890055 	-1.32618990031786	log10
observable_Insulin		model1_data10	3.22940129091689	0.25	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22940129091689	0.25	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2275668434802203	0.5	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2275668434802203	0.5	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22539475687106	1.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22539475687106	1.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22205891373972	2.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22205891373972	2.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.21978714946899	3.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.21978714946899	3.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.21831433041112	4.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.21831433041112	4.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.21743915164621	5.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.21743915164621	5.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2169121149943	7.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2169121149943	7.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2178595126271303	10.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2178595126271303	10.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22126248539234	15.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22126248539234	15.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22530563175201	20.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.22530563175201	20.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2294605766170497	25.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.2294605766170497	25.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
observable_Insulin		model1_data10	3.23360874077439	30.0	-1.59989083921818;0.538009450729947;0.999999072086866;7.99999999400177	-0.604981042545965	log10
